0.000, 0.000, 0.000
0.000, 0.000, 0.000
-0.013, 0.015, -0.161
-0.056, 0.555, -0.702
-0.158, 2.172, -1.819
-0.304, 4.667, -3.060
-0.404, 7.469, -3.337
-0.472, 10.345, -3.223
-0.611, 13.065, -3.764
-0.684, 15.511, -3.418
-0.747, 17.774, -3.189
-0.846, 19.769, -3.475
-0.918, 21.527, -3.430
-0.986, 22.985, -3.430
-1.041, 24.240, -3.394
-1.072, 25.403, -3.107
-1.131, 26.448, -3.257
-1.169, 27.266, -3.235
-1.175, 27.717, -3.016
-1.170, 27.801, -2.899
-1.169, 27.800, -2.889
-1.169, 27.798, -2.889
-1.169, 27.798, -2.889
-1.169, 27.798, -2.889
-1.169, 27.798, -2.889
-1.203, 27.834, -3.303
-1.217, 27.848, -3.464
-1.220, 27.851, -3.499
-1.246, 27.878, -3.809
-1.402, 27.932, -5.732
-1.858, 27.966, -11.394
-2.527, 27.877, -19.820
-3.301, 27.569, -30.327
-4.067, 27.063, -41.905
-4.706, 26.339, -53.956
-4.955, 25.788, -61.529
-4.958, 25.740, -62.082
-4.970, 25.739, -62.162
-5.142, 25.797, -62.531
-5.466, 25.940, -62.819
-5.870, 26.142, -62.899
-6.386, 26.373, -63.279
-6.985, 26.644, -63.659
-7.818, 27.011, -64.223
-9.041, 27.544, -64.982
-10.661, 28.279, -65.477
-12.502, 29.104, -66.064
-14.526, 29.982, -66.697
-16.610, 30.923, -66.800
-18.194, 31.581, -67.526
-18.332, 31.531, -68.770
-17.369, 31.164, -68.654
-15.066, 30.402, -67.388
-11.850, 29.259, -65.984
-8.129, 27.784, -65.650
-4.165, 26.201, -65.535
-1.239, 24.915, -66.835
0.433, 24.212, -67.135
1.586, 23.738, -67.205
2.361, 23.376, -67.791
2.656, 23.283, -67.492
2.800, 23.415, -65.225
3.038, 23.649, -61.207
3.305, 23.966, -56.028
3.666, 24.301, -49.882
4.256, 24.717, -40.916
5.205, 25.192, -27.669
6.710, 25.534, -8.044
8.606, 25.256, 16.241
10.310, 24.042, 42.654
11.316, 22.340, 68.159
11.515, 21.044, 84.663
11.392, 20.341, 93.618
11.315, 20.193, 95.576
11.315, 20.193, 95.576
11.515, 20.135, 96.059
12.851, 19.973, 96.518
15.285, 19.719, 96.886
18.245, 19.398, 97.279
21.439, 19.161, 96.622
24.810, 18.894, 96.518
28.146, 18.623, 96.357
30.858, 18.553, 94.781
32.886, 18.512, 93.941
34.360, 18.464, 93.550
34.938, 18.715, 90.095
35.133, 19.288, 82.822
35.087, 20.189, 71.325
34.702, 21.238, 57.169
33.977, 22.225, 41.711
32.956, 22.908, 25.977
31.842, 23.285, 10.933
30.819, 23.394, -2.256
29.820, 23.315, -15.019
28.903, 23.006, -27.496
28.309, 22.693, -36.081
27.844, 22.699, -40.663
27.115, 23.202, -43.113
26.023, 23.976, -45.877
24.648, 24.854, -49.123
23.054, 25.709, -53.059
21.284, 26.438, -57.811
19.428, 26.919, -63.738
17.589, 26.854, -73.027
17.089, 27.085, -71.923
17.014, 27.127, -71.715
17.009, 27.126, -71.716
17.009, 27.129, -71.681
17.041, 27.080, -72.152
17.045, 27.073, -72.221
17.281, 26.825, -74.385
18.060, 26.262, -79.094
19.173, 25.724, -83.570
19.918, 25.292, -88.266
20.469, 24.806, -94.631
20.958, 23.996, -105.968
21.478, 22.886, -121.656
21.583, 21.178, -138.874
21.796, 18.805, -156.932
22.128, 16.062, -170.006
22.200, 13.262, -175.128
21.808, 10.502, -173.309
20.811, 7.995, -166.059
18.990, 6.699, -150.336
17.286, 6.856, -131.957
16.234, 8.018, -112.079
16.048, 9.473, -93.618
16.604, 10.529, -79.703
17.217, 10.896, -73.293
16.681, 11.148, -72.313
14.795, 11.772, -72.142
12.049, 12.616, -72.464
8.971, 13.949, -69.126
6.140, 15.908, -61.185
3.797, 18.443, -51.067
2.045, 21.511, -39.144
1.231, 24.930, -24.929
1.459, 28.070, -9.989
2.719, 30.694, 6.871
4.563, 32.327, 24.148
6.337, 32.835, 39.835
7.518, 32.609, 52.356
7.631, 32.189, 57.640
7.372, 31.706, 61.300
7.270, 31.601, 61.853
7.272, 31.605, 61.818
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.272, 31.606, 61.807
7.274, 31.606, 61.819
7.274, 31.606, 61.819
